Name,Location,Hometype,Max_guest,Home_summary,Price,Amenities,Reviewnumber,Reviewstar
Beautiful Carriage House - Heart of 12South!,Nashville,ENTIRE GUESTHOUSE,3 guests,"['1 bedroom', '1 bed', '1 bath']",$89 per night,"['Free parking on premises', 'Kitchen', 'Wifi', 'Cable TV', 'Iron', 'Laptop friendly workspace']",191,Rating 5 out of 5
Junior Suite Near Beautiful Bay,San Diego,PRIVATE ROOM IN HOUSE,2 guests,"['1 bedroom', '1 bed', '1 private bath']",$65 per night,"['Wifi', 'Pool', 'Cable TV', 'Laptop friendly workspace', 'Dryer', 'Washer']",142,Rating 5 out of 5
Custom Urban Garage with Loft,Seattle,ENTIRE GUESTHOUSE,2 guests,"['1 bedroom', '1 bed', '1 bath']",$66 per night,"['Kitchen', 'Wifi', 'Cable TV', 'Laptop friendly workspace', 'TV', 'Hangers']",83,Rating 5 out of 5
?? Walk + Bike + Transit Score 97+ ??,San Francisco,PRIVATE ROOM IN APARTMENT,2 guests,"['1 bedroom', '1 bed', '1 shared bath']",$99 per night,"['Kitchen', 'Laptop friendly workspace', 'TV', 'Iron', 'Hangers', 'Hair dryer']",228,Rating 5 out of 5
Master Suite w/ Private Bath in Financial District,New York,PRIVATE ROOM IN APARTMENT,2 guests,"['1 bedroom', '1 bed', '2 baths']",$100 per night,"['Elevator', 'Gym', 'Kitchen', 'Wifi', 'Cable TV', 'Washer']",88,Rating 5 out of 5
Harry's Fine Foods Capitol Hill,Seattle,PRIVATE ROOM IN APARTMENT,2 guests,"['1 bedroom', '1 bed', '1 shared bath']",$73 per night,"['Kitchen', 'Wifi', 'Dryer', 'Laptop friendly workspace', 'Washer', 'Iron']",91,Rating 5 out of 5
Home SUITE Home,San Francisco,ENTIRE HOUSE,3 guests,"['Studio', '1 bed', '1 bath']",$175 per night,"['Free parking on premises', 'Kitchen', 'Wifi', 'Laptop friendly workspace', 'TV', 'Iron']",94,Rating 5 out of 5
"Venice Beach Oasis, 1/2 block from beach",Venice,PRIVATE ROOM IN APARTMENT,1 guest,"['1 bedroom', '1 bed', '1 shared bath']",$100 per night,"['Kitchen', 'Wifi', 'Laptop friendly workspace', 'Iron', 'Hangers', 'Washer']",138,Rating 5 out of 5
Restored Historic Home in Downtown Denver's LoHi,Denver,ENTIRE HOUSE,5 guests,"['2 bedrooms', '3 beds', '2 baths']",$138 per night,"['Wifi', 'Kitchen', 'Gym', 'Indoor fireplace', 'Laptop friendly workspace', 'TV']",303,Rating 5 out of 5
"1 BD,1 BA/Getaway/Zen Suite+Hot tub",San Diego,PRIVATE ROOM IN HOUSE,2 guests,"['1 bedroom', '1 bed', '1 private bath']",$90 per night,"['Free parking on premises', 'Kitchen', 'Wifi', 'Hot tub', 'Cable TV', 'Indoor fireplace']",236,Rating 5 out of 5
Peaceful Noe Valley Refuge,San Francisco,PRIVATE ROOM IN HOUSE,2 guests,"['1 bedroom', '1 bed', '1 shared bath']",$95 per night,"['Wifi', 'Breakfast', 'Hangers', 'Hair dryer', 'Shampoo', 'Essentials']",510,Rating 5 out of 5
359 Tiny rotating house - Mississippi neighborhood,Portland,ENTIRE GUESTHOUSE,2 guests,"['1 bedroom', '1 bed', '1 bath']",$135 per night,"['Kitchen', 'Wifi', 'Hangers', 'Laptop friendly workspace', 'Essentials', 'Iron']",170,Rating 5 out of 5
Soaring Crane Luxury Garden Retreat. Clean + Comfy,Seattle,ENTIRE HOUSE,2 guests,"['1 bedroom', '1 bed', '1 bath']",$119 per night,"['Free parking on premises', 'Kitchen', 'Wifi', 'Dryer', 'Laptop friendly workspace', 'Washer']",202,Rating 5 out of 5
Ultimate luxury awaits you by LAX,Los Angeles,ENTIRE APARTMENT,3 guests,"['1 bedroom', '1 bed', '1 bath']",$149 per night,"['Free parking on premises', 'Kitchen', 'Wifi', 'Cable TV', 'Laptop friendly workspace', 'Iron']",196,Rating 5 out of 5
Private Cottage in Sunny Miami,Miami,ENTIRE HOUSE,2 guests,"['1 bedroom', '1 bed', '1 bath']",$50 per night,"['Kitchen', 'Iron', 'Hair dryer', 'Dryer', 'Hangers', 'TV']",173,Rating 5 out of 5
Los Angeles Area Rancho Equestrian,"Burbank, Los Angeles",PRIVATE ROOM IN HOUSE,2 guests,"['1 bedroom', '1 bed', '1 bath']",$84 per night,"['Air conditioning', 'Cable TV', 'Dryer', 'Ethernet connection', 'Essentials', 'Indoor fireplace']",312,Rating 5 out of 5
"Bright Venice Loft, Steps to Beach!",Los Angeles,ENTIRE GUEST SUITE,2 guests,"['Studio', '1 bed', '1 bath']",$149 per night,"['Kitchen', 'Wifi', 'Cable TV', 'Laptop friendly workspace', 'Iron', 'Hangers']",700,Rating 5 out of 5
Studio B in Corktown,Detroit,ENTIRE APARTMENT,2 guests,"['Studio', '1 bed', '1 bath']",$135 per night,"['Free parking on premises', 'Wifi', 'Kitchen', 'Iron', 'Laptop friendly workspace', 'Hair dryer']",283,Rating 5 out of 5
Guest house Villa/Vine-covered - LA walk to beach,El Segundo,ENTIRE GUESTHOUSE,4 guests,"['1 bedroom', '2 beds', '1 bath']",$110 per night,"['Free parking on premises', 'Breakfast', 'Kitchen', 'Wifi', 'Hot tub', 'Cable TV']",200,Rating 5 out of 5
Venice Beach Walkstreet Guesthouse,Venice,ENTIRE GUESTHOUSE,2 guests,"['Studio', '0 beds', '1 bath']",$135 per night,"['Kitchen', 'Wifi', 'Cable TV', 'Indoor fireplace', 'Laptop friendly workspace', 'Iron']",650,Rating 5 out of 5
Private Laurel Canyon Guesthouse,Los Angeles,ENTIRE GUEST SUITE,2 guests,"['1 bedroom', '1 bed', '1 bath']",$99 per night,"['Wifi', 'Hangers', 'Hair dryer', 'Shampoo', 'Air conditioning', 'Essentials']",201,Rating 5 out of 5
Treehouse in Vineyard Overlooking Monterey Bay,Los Gatos,TREEHOUSE,2 guests,"['1 bedroom', '1 bed', '1 bath']",$220 per night,"['Free parking on premises', 'Wifi', 'Laptop friendly workspace', 'Dryer', 'Iron', 'Washer']",210,Rating 5 out of 5
Charming Beach Cottage,Summerland,ENTIRE HOUSE,4 guests,"['2 bedrooms', '2 beds', '1 bath']",$175 per night,"['Kitchen', 'Free parking on premises', 'Wifi', 'Indoor fireplace', 'Cable TV', 'Dryer']",240,Rating 4.5 out of 5
"Charming and Classic in Coconut Grove, Miami",Miami,PRIVATE ROOM IN HOUSE,2 guests,"['1 bedroom', '1 bed', '1 private bath']",$55 per night,"['Wifi', 'Laptop friendly workspace', 'Iron', 'Hair dryer', 'Hangers', 'Shampoo']",126,Rating 5 out of 5
