Name,Location,Hometype,Max_guest,Home_summary,Price,Amenities,Reviewnumber,Reviewstar
"Nature, heritage and animal lovers",Saint-Jean-de-Monts,PRIVATE ROOM IN GUEST SUITE,2 guests,"['1 bedroom', '1 bed', '1 private bath']",$46 per night,"['Essentials', 'Heating', 'Washer', 'Free parking on premises', 'Private entrance', 'Hair dryer']",242,Rating 5 out of 5
Amazing view on the Eiffel Tower.,Paris,PRIVATE ROOM IN APARTMENT,2 guests,"['1 bedroom', '1 bed', '1 private bath']",$208 per night,"['Elevator', 'Wifi', 'Breakfast', 'Laptop friendly workspace', 'Iron', 'Hair dryer']",179,Rating 5 out of 5
Balades sur la Route Des Vins en Alsace,Hartmannswiller,ENTIRE APARTMENT,7 guests,"['1 bedroom', '4 beds', '1 bath']",$65 per night,"['Ethernet connection', 'Essentials', 'Heating', 'Iron', 'Laptop friendly workspace', 'Washer']",368,Rating 5 out of 5
"""Traum in Weiss""",La Ciotat,ENTIRE GUESTHOUSE,3 guests,"['1 bedroom', '2 beds', '1 bath']",$49 per night,"['Essentials', 'Heating', 'Iron', 'Laptop friendly workspace', 'TV', 'Wifi']",106,Rating 5 out of 5
Loft Design city center,Marseille,ENTIRE APARTMENT,4 guests,"['1 bedroom', '2 beds', '1 bath']",$47 per night,"['Free parking on premises', 'Wifi', 'Kitchen', 'Cable TV', 'Air conditioning', 'Shampoo']",181,Rating 4.5 out of 5
Maison de campagne,Chapelle Voland,ENTIRE HOUSE,15 guests,"['6 bedrooms', '12 beds', '2 baths']",$156 per night,"['Indoor fireplace', 'Heating', 'Iron', 'TV', 'Wifi', 'Bathtub']",69,Rating 4.5 out of 5
Romantic Hideout in Paris,Paris,ENTIRE APARTMENT,2 guests,"['1 bedroom', '1 bed', '1 bath']",$71 per night,"['Wifi', 'Kitchen', 'Laptop friendly workspace', 'Iron', 'Hair dryer', 'Hangers']",284,Rating 5 out of 5
THE PLACE TO BE // Trendy EIFFEL TOWER apartment,Paris,ENTIRE SERVICED APARTMENT,2 guests,"['Studio', '1 bed', '1 bath']",$174 per night,"['Elevator', 'Hot tub', 'Wifi', 'Kitchen', 'Cable TV', 'Iron']",155,Rating 4.5 out of 5
Chalet Arrayane,Arrens-Marsous,ENTIRE CHALET,4 guests,"['1 bedroom', '3 beds', '1 bath']",$52 per night,"['Ethernet connection', 'Essentials', 'Heating', 'Pack ??n Play/travel crib', 'Stair gates', 'Free parking on premises']",134,Rating 5 out of 5
studette abbaye aux dames,Caen,TINY HOUSE,3 guests,"['1 bedroom', '2 beds', '1 bath']",$42 per night,"['Cable TV', 'Essentials', 'Heating', 'Iron', 'Laptop friendly workspace', 'TV']",509,Rating 4.5 out of 5
"Logement avec piscine , garage,wifi",La Rochelle,ENTIRE GUESTHOUSE,2 guests,"['1 bedroom', '1 bed', '1 bath']",$64 per night,"['Essentials', 'Heating', 'Iron', 'Laptop friendly workspace', 'TV', 'Wifi']",129,Rating 5 out of 5
Charming flat in Montmartre,Paris,ENTIRE APARTMENT,2 guests,"['1 bedroom', '1 bed', '1 bath']",$84 per night,"['Wifi', 'Indoor fireplace', 'Kitchen', 'Dryer', 'Laptop friendly workspace', 'Iron']",250,Rating 4.5 out of 5
Charming room in spacious apartment,Paris,PRIVATE ROOM IN APARTMENT,2 guests,"['1 bedroom', '1 bed', '2 baths']",$75 per night,"['Elevator', 'Wifi', 'Kitchen', 'Breakfast', 'Laptop friendly workspace', 'Iron']",685,Rating 4.5 out of 5
Au Grey d'Annecy,Annecy,ENTIRE APARTMENT,2 guests,"['Studio', '1 bed', '1 bath']",$68 per night,"['Cable TV', 'Essentials', 'Heating', 'Iron', 'Laptop friendly workspace', 'TV']",245,Rating 5 out of 5
Seaside apartment in Wissant,Wissant,ENTIRE CONDOMINIUM,4 guests,"['2 bedrooms', '4 beds', '1 bath']",$75 per night,"['Cable TV', 'Dryer', 'Essentials', 'Heating', 'Iron', 'Laptop friendly workspace']",156,Rating 5 out of 5
maisonnette sur les hauteurs de la canourgue,La Canourgue,EARTH HOUSE,4 guests,"['1 bedroom', '2 beds', '0 baths']",$34 per night,"['Essentials', 'Indoor fireplace', 'Hangers', 'Shampoo']",83,Rating 5 out of 5
La BAULE (Maison de charme et Design),La Baule-Escoublac,ENTIRE COTTAGE,4 guests,"['2 bedrooms', '3 beds', '1 bath']",$68 per night,"['Cable TV', 'Dryer', 'Essentials', 'Heating', 'Iron', 'Laptop friendly workspace']",152,Rating 5 out of 5
Centre Nice 10 min from beach,Nice,PRIVATE ROOM IN APARTMENT,2 guests,"['1 bedroom', '1 bed', '1 private bath']",$53 per night,"['Elevator', 'Essentials', 'Kitchen', 'Wifi', 'Dryer', 'Iron']",419,Rating 5 out of 5
"Cabane bois Zen, Atypique avec Spa, proche Lascaux",Rouffignac-Saint-Cernin-de-Reilhac,ENTIRE CABIN,3 guests,"['1 bedroom', '2 beds', '1 bath']",$98 per night,"['Wifi', 'Hot tub', 'Kitchen', 'Free parking on premises', 'Air conditioning', 'Dryer']",150,Rating 5 out of 5
"Treehouse, fully equipped",Saint-Laurent-de-Cerdans,ENTIRE APARTMENT,6 guests,"['2 bedrooms', '5 beds', '1 bath']",$108 per night,"['Heating', 'Washer', 'Pool', 'Kitchen']",50,Rating 5 out of 5
Eagle's nest on the sea for romantic couple,Sagone,ENTIRE HOUSE,2 guests,"['1 bedroom', '1 bed', '1 bath']",$174 per night,"['Essentials', 'Indoor fireplace', 'Heating', 'Laptop friendly workspace', 'TV', 'Wifi']",75,Rating 4.5 out of 5
Large studio with Balcony - NEW!!,Paris,ENTIRE APARTMENT,2 guests,"['Studio', '1 bed', '1 bath']",$93 per night,"['Wifi', 'Kitchen', 'Laptop friendly workspace', 'Cable TV', 'Iron', 'Hair dryer']",320,Rating 5 out of 5
Loft spacieux au coeur de Rennes,Rennes,ENTIRE LOFT,6 guests,"['3 bedrooms', '3 beds', '1 bath']",$113 per night,"['Hot tub', 'Wifi', 'Kitchen', 'Dryer', 'Laptop friendly workspace', 'Iron']",200,Rating 4.5 out of 5
Charming Studio near the Canal Saint-Martin,Paris,ENTIRE APARTMENT,2 guests,"['Studio', '1 bed', '1 bath']",$62 per night,"['Elevator', 'Air conditioning', 'Wifi', 'Kitchen', 'Breakfast', 'Laptop friendly workspace']",252,Rating 4.5 out of 5
"10 mn to arena, Cosy studio loft with aircon",Nimes,ENTIRE LOFT,4 guests,"['1 bedroom', '2 beds', '1 bath']",$59 per night,"['Air conditioning', 'Essentials', 'Heating', 'Iron', 'Laptop friendly workspace', 'TV']",345,Rating 5 out of 5
TreeHouse in South West of France. Peneleau,Montignac-de-Lauzun,TREEHOUSE,4 guests,"['2 bedrooms', '2 beds', '1 bath']",$115 per night,"['Kitchen', 'Free parking on premises', 'Breakfast', 'Essentials', 'Heating', 'Hangers']",58,Rating 5 out of 5
Luxurious Modern House Infinit Pool,Aix-en-Provence,ENTIRE VILLA,16+ guests,"['8 bedrooms', '16 beds', '4 baths']",$575 per night,"['Ethernet connection', 'Essentials', 'Indoor fireplace', 'Heating', 'Iron', 'Laptop friendly workspace']",42,Rating 5 out of 5
THE FORMER MARKET STALL,Carcassonne,ENTIRE APARTMENT,2 guests,"['1 bedroom', '1 bed', '1 bath']",$62 per night,"['Essentials', 'Heating', 'Wifi', 'Kitchen', 'Hangers', 'Shampoo']",500,Rating 4.5 out of 5
Appartement en centre historique,Arles,ENTIRE APARTMENT,4 guests,"['1 bedroom', '2 beds', '1 bath']",$64 per night,"['Essentials', 'Heating', 'Iron', 'Laptop friendly workspace', 'Wifi', 'Baby bath']",379,Rating 5 out of 5
Luxury Apartment - Spa,Lyon,ENTIRE APARTMENT,2 guests,"['1 bedroom', '1 bed', '1 bath']",$220 per night,"['Hot tub', 'Wifi', 'Kitchen', 'Cable TV', 'Laptop friendly workspace', 'Iron']",186,Rating 5 out of 5
"Dowtown's dock, Cosy Place",Lyon,ENTIRE APARTMENT,2 guests,"['Studio', '1 bed', '1 bath']",$91 per night,"['Free parking on premises', 'Air conditioning', 'Wifi', 'Dryer', 'Kitchen', 'Cable TV']",423,Rating 5 out of 5
18thCentury Renovated Attic Studio,Toulouse,ENTIRE APARTMENT,2 guests,"['1 bedroom', '1 bed', '1 bath']",$43 per night,"['Wifi', 'Air conditioning', 'Shampoo', 'Hair dryer', 'Essentials', 'Heating']",389,Rating 5 out of 5
Maison en front de mer N??1,Biscarrosse,ENTIRE HOUSE,6 guests,"['2 bedrooms', '3 beds', '1 bath']",$116 per night,"['Essentials', 'Heating', 'Iron', 'Laptop friendly workspace', 'TV', 'Washer']",112,Rating 5 out of 5
wooden house loft,Andres,ENTIRE HOUSE,6 guests,"['2 bedrooms', '3 beds', '1 bath']",$116 per night,"['Air conditioning', 'Dryer', 'Essentials', 'Heating', 'Iron', 'Laptop friendly workspace']",269,Rating 5 out of 5
NEW Grand appartement Vieux Lyon.,Lyon,ENTIRE APARTMENT,6 guests,"['2 bedrooms', '2 beds', '1 bath']",$97 per night,"['Wifi', 'Kitchen', 'Laptop friendly workspace', 'Iron', 'TV', 'Hangers']",306,Rating 5 out of 5
villa contemporaine Cassis,Cassis,PRIVATE ROOM IN VILLA,2 guests,"['1 bedroom', '1 bed', '1 shared bath']",$116 per night,"['Air conditioning', 'Dryer', 'Essentials', 'Heating', 'TV', 'Washer']",111,Rating 5 out of 5
Charming House 5 Min To The Beach,Ghisonaccia,ENTIRE HOUSE,5 guests,"['2 bedrooms', '3 beds', '1 bath']",$90 per night,"['Air conditioning', 'Cable TV', 'Essentials', 'Heating', 'TV', 'Washer']",33,Rating 5 out of 5
Duplex in walled-city with sea view,St-Malo,ENTIRE APARTMENT,4 guests,"['1 bedroom', '2 beds', '1 bath']",$75 per night,"['Cable TV', 'Essentials', 'Heating', 'TV', 'Wifi', 'Elevator']",243,Rating 5 out of 5
Maison en front de mer N??2,Biscarrosse,ENTIRE HOUSE,6 guests,"['2 bedrooms', '3 beds', '1 bath']",$58 per night,"['Dryer', 'Essentials', 'Indoor fireplace', 'Heating', 'Iron', 'Laptop friendly workspace']",127,Rating 4.5 out of 5
Chalet en montagne,Allevard,ENTIRE CHALET,8 guests,"['2 bedrooms', '5 beds', '1 bath']",$81 per night,"['Dryer', 'Heating', 'TV', 'Washer', 'Children??s books and toys', 'Free parking on premises']",49,Rating 4.5 out of 5
Roxane House Garden and pool for up to 10,Six-Fours-les-Plages,ENTIRE SERVICED APARTMENT,10 guests,"['4 bedrooms', '6 beds', '2 baths']",$174 per night,"['Free parking on premises', 'Gym', 'Wifi', 'Kitchen', 'Pool', 'TV']",53,Rating 4.5 out of 5
Charmant triplex de 55m?? ! 2 Pers.,Villeurbanne,ENTIRE APARTMENT,2 guests,"['1 bedroom', '1 bed', '1 bath']",$65 per night,"['Wifi', 'Kitchen', 'Laptop friendly workspace', 'TV', 'Hangers', 'Hair dryer']",280,Rating 5 out of 5
studio charmant,Granville,ENTIRE APARTMENT,2 guests,"['Studio', '1 bed', '1 bath']",$44 per night,"['Essentials', 'Heating', 'Iron', 'Breakfast', 'Kitchen', 'Hangers']",153,Rating 4.5 out of 5
Logement 4 personnes ile aux pies,Saint-Vincent-sur-Oust,ENTIRE COTTAGE,4 guests,"['2 bedrooms', '3 beds', '1 bath']",$45 per night,"['Essentials', 'Heating', 'Iron', 'Laptop friendly workspace', 'Wifi', 'Children??s books and toys']",212,Rating 4.5 out of 5
Maison de charme dans le vignoble,Cassis,ENTIRE HOUSE,6 guests,"['2 bedrooms', '3 beds', '2 baths']",$231 per night,"['Cable TV', 'Essentials', 'Heating', 'Iron', 'Laptop friendly workspace', 'TV']",129,Rating 5 out of 5
"Calme, confort, vue imprenable",Vars,ENTIRE APARTMENT,2 guests,"['1 bedroom', '2 beds', '1 bath']",$37 per night,"['Dryer', 'Essentials', 'Heating', 'Iron', 'Washer', 'Free parking on premises']",124,Rating 5 out of 5
Paradise Santa Giulia - Corsica,Porto-Vecchio,ENTIRE BUNGALOW,4 guests,"['2 bedrooms', '4 beds', '2 baths']",$150 per night,"['Air conditioning', 'Essentials', 'Heating', 'Iron', 'Laptop friendly workspace', 'TV']",68,Rating 5 out of 5
Perigord Lascaux IV house private warmed pool*,Coly,ENTIRE VILLA,8 guests,"['4 bedrooms', '6 beds', '1.5 baths']",$116 per night,"['Wifi', 'Kitchen', 'Free parking on premises', 'Pool', 'Washer', 'TV']",37,Rating 5 out of 5
